Contrast2,homogeneity2,energy2 ,correlation2 ,contrast3 ,homogeneity3 ,energy3 ,correlation3 ,z1_ent ,z1_mean ,z1_median ,z1_stand_dev ,bases_cnt.A ,bases_cnt.C ,bases_cnt.G ,bases_cnt.T,CAG_count,Class_label
0,1,1,NaN,0,1,1,NaN,0,71.57492355,67,7.264907325,69,103,77,78,10,1
0,1,1,NaN,0,1,1,NaN,0,71.081571,71,6.652590651,66,99,103,63,7,1
0,1,1,NaN,0,1,1,NaN,0,72.0106383,71,7.387672959,103,120,126,121,13,1
0,1,1,NaN,0,1,1,NaN,0,72.10619469,71,7.477582136,113,165,136,151,18,1
0,1,1,NaN,0,1,1,NaN,0,71.1888412,67,6.855557457,40,85,60,48,8,1
0,1,1,NaN,0,1,1,NaN,0,71.01211073,67,6.82777933,126,183,154,115,23,1
0,1,1,NaN,0,1,1,NaN,0,71.8974359,67,7.793923122,123,79,80,108,10,1
0,1,1,NaN,0,1,1,NaN,0,71.53564899,67,7.53357015,170,117,123,137,13,1
0,1,1,NaN,0,1,1,NaN,0,70.89678899,71,6.402290449,90,120,151,75,17,1
0,1,1,NaN,0,1,1,NaN,0,70.99147122,67,6.878985385,113,137,125,94,13,1
0,1,1,NaN,0,1,1,NaN,0,71.69916435,71,6.944213006,82,71,127,79,12,1
0,1,1,NaN,0,1,1,NaN,0,72.98564593,71,8.005093612,47,50,43,69,8,1
0,1,1,NaN,0,1,1,NaN,0,71.17113402,71,6.729851452,106,129,155,95,18,1
0,1,1,NaN,0,1,1,NaN,0,71.9017094,71,7.423482423,107,124,117,120,21,1
0,1,1,NaN,0,1,1,NaN,0,70.98727735,67,7.090331227,112,103,95,83,12,1
0,1,1,NaN,0,1,1,NaN,0,70.88123515,67,6.753845775,107,112,122,80,14,1
0,1,1,NaN,0,1,1,NaN,0,71.49196787,71,7.085915391,127,109,151,111,13,1
0,1,1,NaN,0,1,1,NaN,0,71.73676912,67,7.385513617,1069,1103,1077,1078,10,1
0,1,1,NaN,0,1,1,NaN,0,71.74312477,67,7.390123512,2069,2103,2077,2078,10,1
0,1,1,NaN,0,1,1,NaN,0,71.74535572,67,7.391739448,3069,3103,3077,3078,10,1
