Contrast2,homogeneity2,energy2 ,correlation2 ,contrast3 ,homogeneity3 ,energy3 ,correlation3 ,z1_ent ,z1_mean ,z1_median ,z1_stand_dev ,bases_cnt.A ,bases_cnt.C ,bases_cnt.G ,bases_cnt.T,CAG_count,Class_label
0,1,1,NaN,0,1,1,NaN,0,130.6416862,134,15.1742754,101,110,126,90,20,1
0,1,1,NaN,0,1,1,NaN,0,131.5858311,134,14.12232337,98,71,104,94,11,1
0,1,1,NaN,0,1,1,NaN,0,129.7071713,125,15.30683866,97,139,143,123,22,1
0,1,1,NaN,0,1,1,NaN,0,130.8904731,134,12.80560254,471,245,341,486,27,1
0,1,1,NaN,0,1,1,NaN,0,130.9178832,134,12.8493416,354,180,240,322,24,1
0.390049751,0.993034826,0.956923839,0.773725093,0,1,0.964855005,1,0.129438969,125.8737575,125,21.08412355,251,207,159,371,7,1
0,1,1,NaN,0,1,1,NaN,0,127.8731563,125,14.41273993,269,390,293,404,29,1
0,1,1,NaN,0,1,1,NaN,0,129.4157119,125,13.32373755,142,122,130,217,8,1
0,1,1,NaN,0,1,1,NaN,0,129.573393,125,14.56541388,769,803,777,778,10,1
0,1,1,NaN,0,1,1,NaN,0,129.5934222,125,14.55787214,869,903,877,878,10,1
0,1,1,NaN,0,1,1,NaN,0,129.609371,125,14.55184467,969,1003,977,978,10,1
0,1,1,NaN,0,1,1,NaN,0,130.1641899,134,14.58903576,682,671,727,679,12,1
0,1,1,NaN,0,1,1,NaN,0,130.1117442,134,14.57816774,782,771,827,779,12,1
0,1,1,NaN,0,1,1,NaN,0,130.0710874,134,14.56960783,882,871,927,879,12,1
0,1,1,NaN,0,1,1,NaN,0,130.0386461,134,14.56269302,982,971,1027,979,12,1
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.52055078,80,80,80,80,60,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.5091844,160,160,160,160,100,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.52814323,60,60,60,60,50,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.50994133,150,150,150,150,70,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.51035899,145,145,145,145,55,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.50739215,190,190,190,190,90,2
0,1,1,NaN,0,1,1,NaN,0,129.5933227,125,14.82630899,2282,2530,2430,2193,350,2
0,1,1,NaN,0,1,1,NaN,0,129.5933227,125,14.82630899,2282,2530,2430,2193,350,2
0.262670565,0.995309454,0.988837259,0.080645161,0,1,0.994170562,1,0.028819844,128.0506699,125,17.33585972,752,1403,1132,806,139,2
