Contrast2,homogeneity2,energy2 ,correlation2 ,contrast3 ,homogeneity3 ,energy3 ,correlation3 ,z1_ent ,z1_mean ,z1_median ,z1_stand_dev ,bases_cnt.A ,bases_cnt.C ,bases_cnt.G ,bases_cnt.T,CAG_count,Class_label
0,1,1,NaN,0,1,1,NaN,0,128.0611621,125,15.04846738,69,103,77,78,10,1
0,1,1,NaN,0,1,1,NaN,0,130.0876133,134,15.90011046,66,99,103,63,7,1
0,1,1,NaN,0,1,1,NaN,0,129.8446809,125,14.82388881,103,120,126,121,13,1
0,1,1,NaN,0,1,1,NaN,0,128.4371681,125,14.86362471,113,165,136,151,18,1
0,1,1,NaN,0,1,1,NaN,0,127.5107296,125,15.86530361,40,85,60,48,8,1
0,1,1,NaN,0,1,1,NaN,0,128.8737024,125,15.51863532,126,183,154,115,23,1
0,1,1,NaN,0,1,1,NaN,0,129.9282051,134,13.24730071,123,79,80,108,10,1
0,1,1,NaN,0,1,1,NaN,0,130.2102377,134,13.67605476,170,117,123,137,13,1
0,1,1,NaN,0,1,1,NaN,0,131.3876147,134,15.96515553,90,120,151,75,17,1
0,1,1,NaN,0,1,1,NaN,0,129.4498934,134,15.24837616,113,137,125,94,13,1
0,1,1,NaN,0,1,1,NaN,0,132.9331476,134,14.89238825,82,71,127,79,12,1
0,1,1,NaN,0,1,1,NaN,0,128.5789474,125,13.73774758,47,50,43,69,8,1
0,1,1,NaN,0,1,1,NaN,0,130.9670103,134,15.56228967,106,129,155,95,18,1
0,1,1,NaN,0,1,1,NaN,0,129.3333333,125,14.69926945,107,124,117,120,21,1
0,1,1,NaN,0,1,1,NaN,0,129.6768448,134,14.55338162,112,103,95,83,12,1
0,1,1,NaN,0,1,1,NaN,0,130.5415677,134,15.21187839,107,112,122,80,14,1
0,1,1,NaN,0,1,1,NaN,0,131.5923695,134,14.71009255,127,109,151,111,13,1
0,1,1,NaN,0,1,1,NaN,0,129.6223712,125,14.54691705,1069,1103,1077,1078,10,1
0,1,1,NaN,0,1,1,NaN,0,129.6836796,125,14.52350225,2069,2103,2077,2078,10,1
0,1,1,NaN,0,1,1,NaN,0,129.7052,125,14.51521411,3069,3103,3077,3078,10,1
0,1,1,NaN,0,1,1,NaN,0,129.7161757,125,14.51097317,4069,4103,4077,4078,10,1
0,1,1,NaN,0,1,1,NaN,0,129.7228317,125,14.50839675,5069,5103,5077,5078,10,1
0,1,1,NaN,0,1,1,NaN,0,128.9903714,125,14.77158189,169,203,177,178,10,1
0,1,1,NaN,0,1,1,NaN,0,129.2599823,125,14.67942898,269,303,277,278,10,1
0,1,1,NaN,0,1,1,NaN,0,129.3883432,125,14.63363673,369,403,377,378,10,1
0,1,1,NaN,0,1,1,NaN,0,129.4634146,125,14.6062756,469,503,477,478,10,1
0,1,1,NaN,0,1,1,NaN,0,129.5126773,125,14.58808711,569,603,577,578,10,1
0,1,1,NaN,0,1,1,NaN,0,129.5474881,125,14.57512228,669,703,677,678,10,1
0,1,1,NaN,0,1,1,NaN,0,130.0121588,134,14.55699151,1082,1071,1127,1079,12,1
0,1,1,NaN,0,1,1,NaN,0,129.8867089,134,14.52930513,2082,2071,2127,2079,12,1
0,1,1,NaN,0,1,1,NaN,0,129.842463,134,14.51927046,3082,3071,3127,3079,12,1
0,1,1,NaN,0,1,1,NaN,0,129.8198545,134,14.51408857,4082,4071,4127,4079,12,1
0,1,1,NaN,0,1,1,NaN,0,129.80613,134,14.5109249,5082,5071,5127,5079,12,1
0,1,1,NaN,0,1,1,NaN,0,131.2555995,134,14.77136276,182,171,227,179,12,1
0,1,1,NaN,0,1,1,NaN,0,130.7359793,134,14.69491734,282,271,327,279,12,1
0,1,1,NaN,0,1,1,NaN,0,130.4830019,134,14.65090786,382,371,427,379,12,1
0,1,1,NaN,0,1,1,NaN,0,130.3333333,134,14.62275595,482,471,527,479,12,1
0,1,1,NaN,0,1,1,NaN,0,130.2344214,134,14.60328319,582,571,627,579,12,1
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.50369411,310,310,310,310,110,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.50114076,550,550,550,550,150,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.50845414,171,171,171,171,121,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.50189152,448,448,448,448,148,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.50380963,304,304,304,304,54,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.51434763,110,110,110,110,85,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.51618477,99,99,99,99,79,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.51497148,106,106,106,106,96,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.51737039,93,93,93,93,63,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.5214376,77,77,77,77,47,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.52380323,70,70,70,70,40,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.5114897,133,133,133,133,93,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.51695851,95,95,95,95,45,2
0,1,1,NaN,0,1,1,NaN,0,129.75,129.5,14.51297023,120,120,120,120,80,2
0.337478477,0.993973599,0.560834388,0.984069151,0,1,0.567685391,1,0.900018725,88.60868526,125,61.43088318,3201,3626,3627,3847,457,2
0,1,1,NaN,0,1,1,NaN,0,129.3664951,125,15.49315337,368,525,488,368,68,2
0.023677217,0.999577193,0.999033933,0.000241663,0,1,0.999517025,1,0.003250709,129.0391304,125,13.45960876,1178,917,800,1244,78,2
0,1,1,NaN,0,1,1,NaN,0,129.5933227,125,14.82630899,2282,2530,2430,2193,350,2
0,1,1,NaN,0,1,1,NaN,0,130.7715789,134,13.03381726,599,330,421,550,57,2
0,1,1,NaN,0,1,1,NaN,0,130.6697406,134,12.99986162,548,303,378,506,54,2
0,1,1,NaN,0,1,1,NaN,0,129.2907762,125,15.68124144,371,554,504,349,85,2
0,1,1,NaN,0,1,1,NaN,0,129.3573471,125,15.48568502,369,525,487,368,68,2
