Contrast2,homogeneity2,energy2 ,correlation2 ,contrast3 ,homogeneity3 ,energy3 ,correlation3 ,z1_ent ,z1_mean ,z1_median ,z1_stand_dev ,bases_cnt.A ,bases_cnt.C ,bases_cnt.G ,bases_cnt.T,CAG_count,Class_label
2.457055215,0.727307917,0.343163085,0.507804305,0,1,0.500547092,1,3.834583423,1.103259759,1.073796868,0.436991223,69,103,77,78,10,1
2.587878788,0.734444444,0.368099174,0.464344772,0,1,0.520303758,1,3.798038112,1.099525568,1.059797084,0.428329619,66,99,103,63,7,1
3.260127932,0.703157681,0.317860894,0.364599399,0,1,0.493743775,1,4.250800666,1.036299915,0.999912753,0.396227386,103,120,126,121,13,1
2.535460993,0.730764522,0.351302751,0.509665998,0,1,0.510815256,1,3.991399669,1.091713922,1.079855807,0.424404026,113,165,136,151,18,1
2.227353464,0.754933181,0.389757358,0.49330097,0,1,0.551273829,1,3.788437049,1.139044582,1.109926392,0.431550474,40,85,60,48,8,1
2.703639515,0.713190146,0.322960751,0.402943494,0,1,0.501849834,1,4.071075045,1.098638621,1.045802845,0.42020049,126,183,154,115,23,1
3.800347222,0.613762814,0.181731047,0.47806915,0,1,0.334548808,1,5.131910224,0.940000303,0.925166576,0.422623631,123,79,80,108,10,1
4.109565217,0.589875776,0.159809452,0.480823123,0,1,0.309214651,1,5.337667723,0.911301301,0.892247783,0.427331459,170,117,123,137,13,1
2.801393728,0.695617637,0.293126055,0.47135377,0,1,0.461486578,1,4.187589236,1.043205772,1.014606364,0.415605864,90,120,151,75,17,1
3.186736475,0.686902684,0.288999753,0.432174489,0,1,0.455838969,1,4.192427782,1.043068949,1.037406745,0.419431477,113,137,125,94,13,1
2.730769231,0.701665002,0.300809331,0.465101159,0,1,0.471061039,1,4.346416427,1.013319335,1.003967168,0.379855265,82,71,127,79,12,1
2.504378284,0.731748812,0.355485966,0.412529462,0,1,0.528192088,1,3.8856133,1.043154063,1.024613297,0.367526717,47,50,43,69,8,1
