Contrast2,homogeneity2,energy2 ,correlation2 ,contrast3 ,homogeneity3 ,energy3 ,correlation3 ,z1_ent ,z1_mean ,z1_median ,z1_stand_dev ,bases_cnt.A ,bases_cnt.C ,bases_cnt.G ,bases_cnt.T,CAG_count,Class_label
0,1,1,NaN,0,1,1,NaN,0,68.42622951,70,7.550522512,101,110,126,90,20,1
0,1,1,NaN,0,1,1,NaN,0,68.92098093,70,7.004430379,98,71,104,94,11,1
0,1,1,NaN,0,1,1,NaN,0,67.97609562,66,7.61861796,97,139,143,123,22,1
0,1,1,NaN,0,1,1,NaN,0,68.60272197,70,6.334159372,471,245,341,486,27,1
0,1,1,NaN,0,1,1,NaN,0,68.60583942,70,6.360675607,354,180,240,322,24,1
0.390049751,0.993034826,0.956923839,0.773725093,0,1,0.964855005,1,0.129438969,66.06759443,66,10.86156231,251,207,159,371,7,1
0,1,1,NaN,0,1,1,NaN,0,67.08554572,66,7.180235105,269,390,293,404,29,1
0,1,1,NaN,0,1,1,NaN,0,67.88543372,66,6.606998321,142,122,130,217,8,1
0,1,1,NaN,0,1,1,NaN,0,67.9110969,66,7.246754186,769,803,777,778,10,1
0,1,1,NaN,0,1,1,NaN,0,67.92117947,66,7.242773461,869,903,877,878,10,1
0,1,1,NaN,0,1,1,NaN,0,67.92920805,66,7.239592277,969,1003,977,978,10,1
0,1,1,NaN,0,1,1,NaN,0,68.20514679,70,7.254012591,682,671,727,679,12,1
0,1,1,NaN,0,1,1,NaN,0,68.17917062,70,7.248912684,782,771,827,779,12,1
0,1,1,NaN,0,1,1,NaN,0,68.15903344,70,7.244892894,882,871,927,879,12,1
0,1,1,NaN,0,1,1,NaN,0,68.1429654,70,7.241643816,982,971,1027,979,12,1
0,1,1,NaN,0,1,1,NaN,0,68,68,7.222396375,80,80,80,80,60,2
0,1,1,NaN,0,1,1,NaN,0,68,68,7.216742835,160,160,160,160,100,2
0,1,1,NaN,0,1,1,NaN,0,68,68,7.226172792,60,60,60,60,50,2
0,1,1,NaN,0,1,1,NaN,0,68,68,7.217119325,150,150,150,150,70,2
0,1,1,NaN,0,1,1,NaN,0,68,68,7.217327069,145,145,145,145,55,2
0,1,1,NaN,0,1,1,NaN,0,68,68,7.215851384,190,190,190,190,90,2
0,1,1,NaN,0,1,1,NaN,0,67.91287758,66,7.38008069,2282,2530,2430,2193,350,2
0,1,1,NaN,0,1,1,NaN,0,67.91287758,66,7.38008069,2282,2530,2430,2193,350,2
0.262670565,0.995309454,0.988837259,0.080645161,0,1,0.994170562,1,0.028819844,67.11473812,66,8.719180733,752,1403,1132,806,139,2
