Contrast2,homogeneity2,energy2 ,correlation2 ,contrast3 ,homogeneity3 ,energy3 ,correlation3 ,z1_ent ,z1_mean ,z1_median ,z1_stand_dev ,bases_cnt.A ,bases_cnt.C ,bases_cnt.G ,bases_cnt.T,CAG_count,Class_label
3.217699115,0.6701496,0.262708121,0.395586096,0,1,0.437082496,1,4.63051411,1.007371368,0.97754436,0.396499553,101,110,126,90,20,1
3.5,0.617627069,0.196123183,0.373479331,0,1,0.3711896,1,5.092222137,0.953408027,0.934454291,0.376939331,98,71,104,94,11,1
2.667850799,0.71983845,0.340717862,0.381850532,0,1,0.509374528,1,4.060888593,1.067296732,1.022280002,0.394245593,97,139,143,123,22,1
4.072632944,0.58685072,0.156316607,0.528404909,0,1,0.292797653,1,6.072972715,0.853560381,0.876956865,0.396940782,471,245,341,486,27,1
4.237508112,0.575720775,0.144629531,0.52614276,0,1,0.278999093,1,6.173363603,0.837740068,0.86738162,0.397367042,354,180,240,322,24,1
3.600649351,0.635003865,0.203029179,0.57056342,0,1,0.337836114,1,5.640701034,0.903403959,0.927896469,0.417827853,251,207,159,371,7,1
2.502923977,0.722525449,0.335064371,0.521519186,0,1,0.490345758,1,4.171805255,1.058074887,1.048813294,0.404457048,269,390,293,404,29,1
2.460338101,0.726500093,0.345765953,0.495208735,0,1,0.495321342,1,4.153170444,1.05030395,1.026043687,0.393695852,142,122,130,217,8,1
3.311531079,0.639935646,0.294847846,0.454665375,0,1,0.435548895,1,1.974350105,1.001615557,1.145115991,0.408577182,769,803,777,778,10,1
3.312284674,0.639946634,0.294852591,0.454539689,0,1,0.43557837,1,1.974134871,1.001636561,1.145115991,0.408576266,869,903,877,878,10,1
3.310971108,0.639974031,0.294870737,0.454655635,0,1,0.435610306,1,1.974067396,1.001671713,1.145115991,0.408555594,969,1003,977,978,10,1
3.318297956,0.639091279,0.293275502,0.454240206,0,1,0.434042576,1,2.007409958,0.999409316,1.145115991,0.40734246,682,671,727,679,12,1
3.318461009,0.639073545,0.293256433,0.454227296,0,1,0.434023823,1,2.007474936,0.999401932,1.145115991,0.407351106,782,771,827,779,12,1
3.319213759,0.639084474,0.293261037,0.454102041,0,1,0.434053119,1,2.007261272,0.999422794,1.145115991,0.407350242,882,871,927,879,12,1
3.3179026,0.639111785,0.293279035,0.454217754,0,1,0.434084876,1,2.00719542,0.999457782,1.145115991,0.40732967,982,971,1027,979,12,1
2.07410796,0.557563281,0.195390027,0.219463773,0,1,0.337961421,1,2.031934009,1.000081714,0.857142857,0.322322706,80,80,80,80,60,2
2.06590389,0.572158658,0.194385686,0.257037992,0,1,0.346082824,1,2.030710126,1.000277804,0.859375,0.322366067,160,160,160,160,100,2
1.904761905,0.566544567,0.208961025,0.174073416,0,1,0.348785196,1,1.977772044,1.000245497,0.857142866,0.307597847,60,60,60,60,50,2
2.138341732,0.572072072,0.189007886,0.279318585,0,1,0.343734067,1,2.06284657,1.000081826,0.875,0.328751142,150,150,150,150,70,2
2.174152154,0.572257867,0.186452611,0.289300918,0,1,0.34262486,1,2.077671296,1.000016423,0.893137255,0.331880745,145,145,145,145,55,2
2.099037139,0.572787712,0.191805096,0.270284028,0,1,0.345242006,1,2.046765157,0.999739143,0.875,0.325229854,190,190,190,190,90,2
2.429904306,0.739664502,0.319650278,0.692486534,0,1,0.464258906,1,4.294747817,1.037241661,1,0.484614345,2282,2530,2430,2193,350,2
2.430020575,0.739652045,0.31962796,0.692481943,0,1,0.464239468,1,4.294592046,1.037243652,1,0.484625853,2282,2530,2430,2193,350,2
2.236577663,0.758445386,0.350895899,0.70377928,0,1,0.493410817,1,4.081075529,1.065285084,1.001552996,0.488203364,752,1403,1132,806,139,2
