Contrast2,homogeneity2,energy2 ,correlation2 ,contrast3 ,homogeneity3 ,energy3 ,correlation3 ,z1_ent ,z1_mean ,z1_median ,z1_stand_dev ,bases_cnt.A ,bases_cnt.C ,bases_cnt.G ,bases_cnt.T,CAG_count,Class_label
2.889570552,0.683895706,0.283130716,0.494943706,0,1,0.423711061,1,4.212054266,1.027911275,1.023181425,0.41592447,69,103,77,78,10,1
2.975757576,0.682481962,0.288301194,0.461015698,0,1,0.435638594,1,4.191201012,0.990752988,1.004868726,0.37866955,66,99,103,63,7,1
3.029850746,0.660714286,0.25134001,0.425317543,0,1,0.402109552,1,4.195899392,1.037466678,1.062083742,0.420372831,103,120,126,121,13,1
2.75177305,0.708130699,0.320054323,0.435712039,0,1,0.474408333,1,4.045300021,1.066275584,1.062861909,0.407306898,113,165,136,151,18,1
2.781527531,0.699898503,0.310872672,0.440833469,0,1,0.456635733,1,4.233589228,1.0301131,1.01639965,0.390863104,40,85,60,48,8,1
3.098786828,0.651675332,0.240751031,0.413257715,0,1,0.384939117,1,4.753792416,0.979733444,0.973710957,0.383872198,126,183,154,115,23,1
4.005208333,0.614300182,0.192147714,0.48030468,0,1,0.330499896,1,4.67329368,0.953598572,0.93262192,0.448283824,123,79,80,108,10,1
4.366956522,0.589010352,0.16629414,0.411385998,0,1,0.322289738,1,4.930949113,0.93959236,0.907638398,0.435359491,170,117,123,137,13,1
3.383275261,0.655261739,0.246567277,0.38871944,0,1,0.397413989,1,4.767329519,0.961946486,0.975764153,0.374006491,90,120,151,75,17,1
3.294938918,0.637193551,0.218156179,0.47990431,0,1,0.359795554,1,4.763900205,0.964544362,0.946026161,0.406760687,113,137,125,94,13,1
3.153846154,0.66974692,0.261999364,0.459760342,0,1,0.408057162,1,4.296288213,1.01734723,1.033345272,0.418114176,82,71,127,79,12,1
2.92469352,0.686185472,0.290058612,0.415514126,0,1,0.437680327,1,4.143489261,1.065961337,1.06738388,0.435378785,47,50,43,69,8,1
3.38245614,0.642067669,0.23364112,0.381400124,0,1,0.384181744,1,4.619940327,0.974650089,0.96928711,0.388600349,106,129,155,95,18,1
3.184534271,0.657400201,0.243176294,0.387364968,0,1,0.415370883,1,4.530536526,1.014000318,0.999232211,0.395850998,107,124,117,120,21,1
3.838028169,0.601177901,0.182398086,0.418950372,0,1,0.343787547,1,4.65008146,0.957278927,0.947481947,0.414168229,112,103,95,83,12,1
3.604938272,0.619345763,0.202902743,0.416481047,0,1,0.360878298,1,4.63429249,0.962174186,0.972457768,0.401383491,107,112,122,80,14,1
3.697879859,0.635285209,0.212694627,0.4560875,0,1,0.372308228,1,4.646068974,0.966361191,0.965500049,0.413802222,127,109,151,111,13,1
3.293804901,0.73171521,0.396210038,0.121570124,0,1,0.571759098,1,1.791116047,1.002069087,1.032720588,0.314320532,1069,1103,1077,1078,10,1
3.308791737,0.733593562,0.402172081,0.095971231,0,1,0.578386566,1,1.629927981,1.00107517,1.032720588,0.309608715,2069,2103,2077,2078,10,1
3.314051598,0.734252799,0.404291927,0.086636168,0,1,0.580727493,1,1.568442491,1.000726287,1.032720588,0.307937177,3069,3103,3077,3078,10,1
3.316734044,0.734588999,0.405378491,0.081802142,0,1,0.581924314,1,1.535531316,1.000548352,1.032720588,0.307081064,4069,4103,4077,4078,10,1
3.31836072,0.734792876,0.406039201,0.07884615,0,1,0.582651067,1,1.514882455,1.000440446,1.032720588,0.306560689,5069,5103,5077,5078,10,1
3.317638376,0.734853629,0.406136786,0.078952324,0,1,0.582707089,1,1.514644667,1.000463909,1.032720588,0.306549978,169,203,177,178,10,1
3.317801614,0.734840583,0.406116625,0.078941893,0,1,0.582690814,1,1.514696026,1.000451053,1.032720588,0.30655204,269,303,277,278,10,1
3.317964867,0.734827535,0.406096463,0.07893146,0,1,0.582674538,1,1.514747389,1.000444635,1.032720588,0.306558216,369,403,377,378,10,1
3.318128137,0.734814487,0.406076299,0.078921026,0,1,0.58265826,1,1.514798756,1.000441437,1.032720588,0.306565419,469,503,477,478,10,1
3.318291423,0.734801437,0.406056135,0.07891059,0,1,0.582641982,1,1.514850126,1.000439849,1.032720588,0.306572879,569,603,577,578,10,1
3.318454724,0.734788386,0.406035969,0.078900154,0,1,0.582625702,1,1.5149015,1.000439065,1.032720588,0.306580402,669,703,677,678,10,1
3.329967875,0.728801984,0.390276537,0.137672093,0,1,0.565587722,1,1.828052835,0.999300973,1.032720588,0.31621178,1082,1071,1127,1079,12,1
3.327590333,0.732067366,0.399016986,0.105349668,0,1,0.575112467,1,1.651336592,0.999635476,1.032720588,0.31062784,2082,2071,2127,2079,12,1
3.326751902,0.73321889,0.402143335,0.09323234,0,1,0.578499681,1,1.583710306,0.999753454,1.032720588,0.308634504,3082,3071,3127,3079,12,1
3.326323511,0.733807253,0.403749588,0.086886256,0,1,0.580236061,1,1.547472616,0.999813738,1.032720588,0.307611021,4082,4071,4127,4079,12,1
3.326063464,0.734164409,0.404727564,0.082981388,0,1,0.581291986,1,1.524725184,0.999850334,1.032720588,0.306988061,5082,5071,5127,5079,12,1
3.325342634,0.734225035,0.404824719,0.083087727,0,1,0.581347761,1,1.524487857,0.999873731,1.032720588,0.306977448,182,171,227,179,12,1
3.325505993,0.734211979,0.404804559,0.083077311,0,1,0.581331469,1,1.524539575,0.999860866,1.032720588,0.3069795,282,271,327,279,12,1
3.325669369,0.734198922,0.404784399,0.083066894,0,1,0.581315176,1,1.524591297,0.999854429,1.032720588,0.306985667,382,371,427,379,12,1
3.32583276,0.734185863,0.404764237,0.083056475,0,1,0.581298882,1,1.524643023,0.999851207,1.032720588,0.306992864,482,471,527,479,12,1
3.325996168,0.734172802,0.404744075,0.083046056,0,1,0.581282586,1,1.524694752,0.999849592,1.032720588,0.307000319,582,571,627,579,12,1
3.324455206,0.665725047,0.299470205,0.235852776,0,1,0.394898543,1,2.033779554,1.000230415,1.011764706,0.431016754,310,310,310,310,110,2
3.310140973,0.683568289,0.324535254,0.212899195,0,1,0.432999174,1,1.887987355,1.00012987,1.023529412,0.406077509,550,550,550,550,150,2
3.36078253,0.63466788,0.266158498,0.258581328,0,1,0.339991037,1,2.183901101,1.000270558,1.011764706,0.471044216,171,171,171,171,121,2
3.56895767,0.613905325,0.247906018,0.229583519,0,1,0.322295643,1,2.219056967,0.938580528,0.857142857,0.4113522,448,448,448,448,148,2
3.617941712,0.590255009,0.23283516,0.226802111,0,1,0.294326749,1,2.307087593,0.931399957,0.857142857,0.432536055,304,304,304,304,54,2
3.651480638,0.556324981,0.224166334,0.213700174,0,1,0.264696783,1,2.352402166,0.931670259,0.857142857,0.476434054,110,110,110,110,85,2
3.669553327,0.551481313,0.222703586,0.207801724,0,1,0.262166552,1,2.355177862,0.925130832,0.857142857,0.473253356,99,99,99,99,79,2
3.660282718,0.549224806,0.223472937,0.208419926,0,1,0.260684854,1,2.348629845,0.929394142,0.857142857,0.481919126,106,106,106,106,96,2
3.678375912,0.553657238,0.222158213,0.208448297,0,1,0.264012739,1,2.360440966,0.921610008,0.857142857,0.46523745,93,93,93,93,63,2
3.713829302,0.548775293,0.220562689,0.200059249,0,1,0.262044878,1,2.36668428,0.911993954,0.857142857,0.456751683,77,77,77,77,47,2
3.728310502,0.546818874,0.219977482,0.196705514,0,1,0.261310273,1,2.369306028,0.907846073,0.857142857,0.452955093,70,70,70,70,40,2
3.654179991,0.552329831,0.223728176,0.210918291,0,1,0.262343988,1,2.350679172,0.931354126,0.857142857,0.480662899,133,133,133,133,93,2
3.729890311,0.545383912,0.220012182,0.1948075,0,1,0.260370961,1,2.368294472,0.908350764,0.857142857,0.455705372,95,95,95,95,45,2
3.680384088,0.548681603,0.222416871,0.205141579,0,1,0.260966833,1,2.35545592,0.923587017,0.857142857,0.474294756,120,120,120,120,80,2
2.128467572,0.779799997,0.351981015,0.794571714,0,1,0.462552536,1,3.717081203,1.026188036,1,0.543313581,3201,3626,3627,3847,457,2
2.228296743,0.768005475,0.341908285,0.772002218,0,1,0.457752401,1,3.820059711,1.023943181,1,0.527418756,368,525,488,368,68,2
2.458002487,0.754985525,0.325392614,0.752228814,0,1,0.447480228,1,3.862991407,1.022460061,1,0.529246546,1178,917,800,1244,78,2
2.719779957,0.719526258,0.297632088,0.668880117,0,1,0.428167986,1,4.256832064,1.004107094,1,0.473860562,2282,2530,2430,2193,350,2
2.792384233,0.717339698,0.293979066,0.667468712,0,1,0.425839756,1,4.25092404,1.005305212,1,0.480348698,599,330,421,550,57,2
2.787255418,0.718147942,0.294308963,0.670190889,0,1,0.426127132,1,4.247900212,1.005220885,1,0.481414157,548,303,378,506,54,2
2.690125347,0.721362674,0.299928854,0.669347926,0,1,0.430900223,1,4.237790446,1.005802681,1,0.472307023,371,554,504,349,85,2
2.697909191,0.721419572,0.300174097,0.668723907,0,1,0.43189297,1,4.232025472,1.006629702,1,0.472660071,369,525,487,368,68,2
