Contrast2,homogeneity2,energy2 ,correlation2 ,contrast3 ,homogeneity3 ,energy3 ,correlation3 ,z1_ent ,z1_mean ,z1_median ,z1_stand_dev ,bases_cnt.A ,bases_cnt.C ,bases_cnt.G ,bases_cnt.T,CAG_count,Class_label
0,1,1,NaN,0,1,1,NaN,0,8.039877301,7.8,2.139116709,69,103,77,78,10,1
0,1,1,NaN,0,1,1,NaN,0,8.277878788,7.8,2.24165356,66,99,103,63,7,1
0,1,1,NaN,0,1,1,NaN,0,7.826226013,7.8,2.064467099,103,120,126,121,13,1
0,1,1,NaN,0,1,1,NaN,0,8.024468085,7.8,2.12996983,113,165,136,151,18,1
0,1,1,NaN,0,1,1,NaN,0,8.40862069,7.8,2.243588999,40,85,60,48,8,1
0,1,1,NaN,0,1,1,NaN,0,8.137781629,7.8,2.191245349,126,183,154,115,23,1
0,1,1,NaN,0,1,1,NaN,0,7.775064267,7.8,1.875306245,123,79,80,108,10,1
0,1,1,NaN,0,1,1,NaN,0,7.947802198,7.8,1.981373059,170,117,123,137,13,1
0,1,1,NaN,0,1,1,NaN,0,8.392413793,7.8,2.307913138,90,120,151,75,17,1
0,1,1,NaN,0,1,1,NaN,0,8.09508547,7.8,2.142932558,113,137,125,94,13,1
0,1,1,NaN,0,1,1,NaN,0,7.987430168,7.8,2.150925432,82,71,127,79,12,1
0,1,1,NaN,0,1,1,NaN,0,7.913461538,7.8,1.929434234,47,50,43,69,8,1
0,1,1,NaN,0,1,1,NaN,0,8.164669421,7.8,2.222911865,106,129,155,95,18,1
0,1,1,NaN,0,1,1,NaN,0,7.962740899,7.8,2.072242307,107,124,117,120,21,1
0,1,1,NaN,0,1,1,NaN,0,7.817857143,7.8,2.038726723,112,103,95,83,12,1
0,1,1,NaN,0,1,1,NaN,0,8.051904762,7.8,2.161668937,107,112,122,80,14,1
0,1,1,NaN,0,1,1,NaN,0,8.045674044,7.8,2.125447391,127,109,151,111,13,1
0,1,1,NaN,0,1,1,NaN,0,8.683772538,8.6,2.457949746,1069,1103,1077,1078,10,1
0,1,1,NaN,0,1,1,NaN,0,8.708983906,8.6,2.466143797,2069,2103,2077,2078,10,1
0,1,1,NaN,0,1,1,NaN,0,8.717832225,8.6,2.468951712,3069,3103,3077,3078,10,1
0,1,1,NaN,0,1,1,NaN,0,8.722344726,8.6,2.470370187,4069,4103,4077,4078,10,1
0,1,1,NaN,0,1,1,NaN,0,8.725081177,8.6,2.471225935,5069,5103,5077,5078,10,1
0,1,1,NaN,0,1,1,NaN,0,8.423553719,8.6,2.355878116,169,203,177,178,10,1
0,1,1,NaN,0,1,1,NaN,0,8.534635879,8.6,2.40346217,269,303,277,278,10,1
0,1,1,NaN,0,1,1,NaN,0,8.587483617,8.6,2.423969233,369,403,377,378,10,1
0,1,1,NaN,0,1,1,NaN,0,8.618380062,8.6,2.435342515,469,503,477,478,10,1
0,1,1,NaN,0,1,1,NaN,0,8.638650043,8.6,2.442561265,569,603,577,578,10,1
0,1,1,NaN,0,1,1,NaN,0,8.652971387,8.6,2.447546679,669,703,677,678,10,1
0,1,1,NaN,0,1,1,NaN,0,8.674736117,8.6,2.458382,1082,1071,1127,1079,12,1
0,1,1,NaN,0,1,1,NaN,0,8.70417564,8.6,2.466389704,2082,2071,2127,2079,12,1
0,1,1,NaN,0,1,1,NaN,0,8.714557372,8.6,2.469123255,3082,3071,3127,3079,12,1
0,1,1,NaN,0,1,1,NaN,0,8.719861841,8.6,2.470501852,4082,4071,4127,4079,12,1
0,1,1,NaN,0,1,1,NaN,0,8.723081835,8.6,2.471332753,5082,5071,5127,5079,12,1
0,1,1,NaN,0,1,1,NaN,0,8.382585752,8.6,2.357486216,182,171,227,179,12,1
0,1,1,NaN,0,1,1,NaN,0,8.504749568,8.6,2.404544796,282,271,327,279,12,1
0,1,1,NaN,0,1,1,NaN,0,8.564184852,8.6,2.424868683,382,371,427,379,12,1
0,1,1,NaN,0,1,1,NaN,0,8.599336057,8.6,2.436122003,482,471,527,479,12,1
0,1,1,NaN,0,1,1,NaN,0,8.622561493,8.6,2.443249793,582,571,627,579,12,1
0,1,1,NaN,0,1,1,NaN,0,8.694834544,8.6,2.288537664,310,310,310,310,110,2
0,1,1,NaN,0,1,1,NaN,0,8.728922237,8.6,2.327067119,550,550,550,550,150,2
0,1,1,NaN,0,1,1,NaN,0,8.553733529,8.6,2.105925859,171,171,171,171,121,2
0,1,1,NaN,0,1,1,NaN,0,8.705918481,8.6,2.299708175,448,448,448,448,148,2
0,1,1,NaN,0,1,1,NaN,0,8.76345679,8.6,2.372785967,304,304,304,304,54,2
0,1,1,NaN,0,1,1,NaN,0,8.517995444,8.6,2.07097127,110,110,110,110,85,2
0,1,1,NaN,0,1,1,NaN,0,8.51164557,8.6,2.05698416,99,99,99,99,79,2
0,1,1,NaN,0,1,1,NaN,0,8.470921986,8.6,1.992600257,106,106,106,106,96,2
0,1,1,NaN,0,1,1,NaN,0,8.557412399,8.6,2.125817563,93,93,93,93,63,2
0,1,1,NaN,0,1,1,NaN,0,8.57980456,8.6,2.1639763,77,77,77,77,47,2
0,1,1,NaN,0,1,1,NaN,0,8.592831541,8.6,2.185782759,70,70,70,70,40,2
0,1,1,NaN,0,1,1,NaN,0,8.554237288,8.6,2.111637997,133,133,133,133,93,2
0,1,1,NaN,0,1,1,NaN,0,8.636939314,8.6,2.234341664,95,95,95,95,45,2
0,1,1,NaN,0,1,1,NaN,0,8.565553236,8.6,2.130217753,120,120,120,120,80,2
0.337494619,0.99397331,0.558312922,0.984160757,0,1,0.56516416,1,0.903831367,5.41738569,5.8,4.092674518,3201,3626,3627,3847,457,2
0,1,1,NaN,0,1,1,NaN,0,8.050514874,7.8,2.229580694,368,525,488,368,68,2
0.023682939,0.99957709,0.998550725,0.499758221,0,1,0.99903405,1,0.006019528,7.780985745,7.8,1.956446605,1178,917,800,1244,78,2
0,1,1,NaN,0,1,1,NaN,0,7.953656985,7.8,2.119237876,2282,2530,2430,2193,350,2
0,1,1,NaN,0,1,1,NaN,0,7.807109005,7.8,1.875763846,599,330,421,550,57,2
