Contrast2,homogeneity2,energy2 ,correlation2 ,contrast3 ,homogeneity3 ,energy3 ,correlation3 ,z1_ent ,z1_mean ,z1_median ,z1_stand_dev ,bases_cnt.A ,bases_cnt.C ,bases_cnt.G ,bases_cnt.T,CAG_count,Class_label
3.224778761,0.679936789,0.283088731,0.323325717,0,1,0.474959108,1,3.944434817,1.058837754,1.063310331,0.402227942,101,110,126,90,20,1
3.411347518,0.659156535,0.251886223,0.292391521,0,1,0.441447255,1,4.473834015,1.031823415,0.998125404,0.403311571,98,71,104,94,11,1
2.731793961,0.717203755,0.339481148,0.195986124,0,1,0.540868166,1,3.820583063,1.081147053,1.038585414,0.37205812,97,139,143,123,22,1
4.129701686,0.606796214,0.179398797,0.498934795,0,1,0.329969267,1,5.374487441,0.915511025,0.923371598,0.427228786,471,245,341,486,27,1
4.347826087,0.59173465,0.162392759,0.497039633,0,1,0.310146003,1,5.515430911,0.894510625,0.894596238,0.427844942,354,180,240,322,24,1
3.77987013,0.627591991,0.198952606,0.527269614,0,1,0.338979846,1,5.35889462,0.895082313,0.933736801,0.400404167,251,207,159,371,7,1
2.768031189,0.717916705,0.334794161,0.509965369,0,1,0.485878732,1,4.293813126,1.002969633,1.00622734,0.382860539,269,390,293,404,29,1
2.625487646,0.725231438,0.347579566,0.473726509,0,1,0.496522091,1,4.211373174,1.010988857,1.005490673,0.366371939,142,122,130,217,8,1
2.853240809,0.603789322,0.208338691,0.438954878,0,1,0.339400125,1,2.553795906,1.000318728,0.926960784,0.407257468,769,803,777,778,10,1
2.853971848,0.603798532,0.208337338,0.438831913,0,1,0.339410438,1,2.553609474,1.000335774,0.926960784,0.407260241,869,903,877,878,10,1
2.852635724,0.603824149,0.208359085,0.438965972,0,1,0.339432911,1,2.553570519,1.000368915,0.926960784,0.407242863,969,1003,977,978,10,1
2.849646226,0.604322788,0.208681983,0.439674365,0,1,0.340161933,1,2.548498611,1.002151255,0.926960784,0.408512689,682,671,727,679,12,1
2.849786251,0.604303345,0.208666484,0.439658653,0,1,0.340145823,1,2.548573277,1.00213623,0.926960784,0.408517102,782,771,827,779,12,1
2.850515971,0.604312566,0.208665161,0.439535861,0,1,0.340156211,1,2.548387334,1.002153339,0.926960784,0.408519848,882,871,927,879,12,1
2.849181778,0.604338168,0.208686947,0.439669738,0,1,0.340178739,1,2.548348073,1.002186517,0.926960784,0.408502466,982,971,1027,979,12,1
4.577767612,0.581884721,0.270852778,0.111076056,0,1,0.491033289,1,1.599048459,1.000053536,1.142857143,0.322525591,80,80,80,80,60,2
4.398627002,0.593592677,0.271904445,0.069597399,0,1,0.489891592,1,1.624178073,1.000118912,1.142857143,0.322453268,160,160,160,160,100,2
4.544413919,0.59526862,0.297536026,0.159638127,0,1,0.526391404,1,1.48757248,0.999908337,1.142857143,0.307670295,60,60,60,60,50,2
4.372423271,0.59039548,0.26087795,0.040801122,0,1,0.474573237,1,1.688373774,1.00005361,1.142857143,0.328950336,150,150,150,150,70,2
4.355178735,0.589138405,0.255782458,0.026414123,0,1,0.467341966,1,1.718592505,1.000184516,1.142857143,0.332120341,145,145,145,145,55,2
4.379183861,0.59246523,0.266516438,0.053791275,0,1,0.482308379,1,1.656999786,0.999418208,1.142857143,0.325172195,190,190,190,190,90,2
2.68569378,0.740311119,0.331336599,0.653168526,0,1,0.481799989,1,4.03818074,1.017367719,1.000001089,0.458652578,2282,2530,2430,2193,350,2
2.685822288,0.740298693,0.331314273,0.653163504,0,1,0.481780843,1,4.038336881,1.017346145,1.000001073,0.458652945,2282,2530,2430,2193,350,2
2.515073213,0.754938215,0.356294853,0.662220758,0,1,0.504185265,1,3.86745681,1.03556357,1.006010632,0.459250714,752,1403,1132,806,139,2
