Contrast2,homogeneity2,energy2 ,correlation2 ,contrast3 ,homogeneity3 ,energy3 ,correlation3 ,z1_ent ,z1_mean ,z1_median ,z1_stand_dev ,bases_cnt.A ,bases_cnt.C ,bases_cnt.G ,bases_cnt.T,CAG_count,Class_label
0,1,1,NaN,0,1,1,NaN,0,71.29039813,71,6.948838967,101,110,126,90,20,1
0,1,1,NaN,0,1,1,NaN,0,71.95367847,71,7.432062525,98,71,104,94,11,1
0,1,1,NaN,0,1,1,NaN,0,71.91832669,71,7.214928441,97,139,143,123,22,1
0,1,1,NaN,0,1,1,NaN,0,72.62799741,71,8.009416901,471,245,341,486,27,1
0,1,1,NaN,0,1,1,NaN,0,72.22445255,71,7.903457695,354,180,240,322,24,1
0,1,1,NaN,0,1,1,NaN,0,73.59940358,71,8.293830329,251,207,159,371,7,1
0,1,1,NaN,0,1,1,NaN,0,72.53244838,71,7.732405204,269,390,293,404,29,1
0,1,1,NaN,0,1,1,NaN,0,73.42389525,71,8.112650628,142,122,130,217,8,1
0,1,1,NaN,0,1,1,NaN,0,71.73169172,67,7.381824122,769,803,777,778,10,1
0,1,1,NaN,0,1,1,NaN,0,71.73376807,67,7.38333363,869,903,877,878,10,1
0,1,1,NaN,0,1,1,NaN,0,71.73542144,67,7.384534908,969,1003,977,978,10,1
0,1,1,NaN,0,1,1,NaN,0,71.74338528,71,7.338157518,682,671,727,679,12,1
0,1,1,NaN,0,1,1,NaN,0,71.74422286,71,7.345394702,782,771,827,779,12,1
0,1,1,NaN,0,1,1,NaN,0,71.74487216,71,7.35099967,882,871,927,879,12,1
0,1,1,NaN,0,1,1,NaN,0,71.74539025,71,7.355468645,982,971,1027,979,12,1
0,1,1,NaN,0,1,1,NaN,0,71.75,69,7.406681725,80,80,80,80,60,2
0,1,1,NaN,0,1,1,NaN,0,71.75,69,7.40088393,160,160,160,160,100,2
0,1,1,NaN,0,1,1,NaN,0,71.75,69,7.4105545,60,60,60,60,50,2
0,1,1,NaN,0,1,1,NaN,0,71.75,69,7.401270026,150,150,150,150,70,2
0,1,1,NaN,0,1,1,NaN,0,71.75,69,7.40148307,145,145,145,145,55,2
0,1,1,NaN,0,1,1,NaN,0,71.75,69,7.399969733,190,190,190,190,90,2
0,1,1,NaN,0,1,1,NaN,0,71.49782724,67,7.21362091,2282,2530,2430,2193,350,2
0,1,1,NaN,0,1,1,NaN,0,71.49782724,67,7.21362091,2282,2530,2430,2193,350,2
0,1,1,NaN,0,1,1,NaN,0,71.10669915,67,6.737114366,752,1403,1132,806,139,2
